f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__criterion
0.5100599978159196,0.6483701366982124,0.2177498909097129,0.7883716661499938,311,9.0,5,28,0.24338947684788087,6.0,entropy
0.5100599978159196,0.6483701366982124,0.22144595104698728,0.7776771786494698,655,17.0,8,35,0.33858693582351146,31.0,gini
0.5100599978159196,0.6483701366982124,0.21809537905073614,0.7851166568634602,379,9.0,44,50,0.2661843059594934,,entropy
0.5697251952246906,0.6631440588853839,0.21741921575450324,0.6071520675680185,1,17.0,53,13,0.02874533354052855,6.0,entropy
0.5100599978159196,0.6483701366982124,0.22024515369574774,0.7804284439323842,689,19.0,20,35,0.3230436870176249,35.0,entropy
0.5100599978159196,0.6483701366982124,0.22768129318210728,0.7027592833325832,931,27.0,41,7,0.49233012562833145,35.0,entropy
0.5100599978159196,0.6483701366982124,0.21186267230677028,0.8034522074771047,448,21.0,44,56,0.14167172448352344,22.0,gini
0.5100599978159196,0.6483701366982124,0.22730604458086254,0.7207995859082916,414,11.0,47,38,0.48422826709560274,18.0,entropy
0.5100599978159196,0.6483701366982124,0.21734181843699585,0.7852387463102178,345,17.0,41,60,0.24898433756683702,,gini
0.5100599978159196,0.6483701366982124,0.20781659247416157,0.8140054909757475,758,11.0,26,19,0.09932930145437907,47.0,entropy
0.5100599978159196,0.6483701366982124,0.2178662283109061,0.7911427189076692,931,27.0,23,56,0.24527596598548917,35.0,entropy
0.5100599978159196,0.6483701366982124,0.2192549512261867,0.7805071512806764,448,23.0,38,7,0.3078346472484915,2.0,gini
0.5100599978159196,0.6483701366982124,0.2183587962560987,0.7838940103798884,276,27.0,14,41,0.2729682304788159,14.0,entropy
0.5100599978159196,0.6483701366982124,0.2212571800251954,0.7750821216576627,138,7.0,5,32,0.33326106242204184,47.0,entropy
0.5100599978159196,0.6483701366982124,0.2216612438536811,0.7729252869086842,655,23.0,44,56,0.3388825059742168,14.0,entropy
0.5100599978159196,0.6483701366982124,0.22410799535034334,0.7679207593113648,896,25.0,38,28,0.40077151540307904,,gini
0.5100599978159196,0.6483701366982124,0.2128269303904852,0.80346042194656,965,5.0,5,7,0.1561338957452597,43.0,gini
0.5100599978159196,0.6483701366982124,0.22734346582106033,0.7326010565250556,758,23.0,41,38,0.4835323065088715,51.0,entropy
0.5100599978159196,0.6483701366982124,0.22073374183764105,0.7661938535253521,69,19.0,56,56,0.2738561531879244,,gini
0.5100599978159196,0.6483701366982124,0.22397621872751777,0.7628926189033238,552,9.0,29,25,0.4023617477420886,22.0,gini
0.5100599978159196,0.6483701366982124,0.2253112986982564,0.7328943949261811,69,13.0,56,50,0.4481377898233706,43.0,gini
0.5100599978159196,0.6483701366982124,0.21969090588043133,0.782647738960917,793,5.0,60,10,0.28713131815976894,14.0,entropy
0.5328287107149322,0.6584647739221872,0.1997688942029415,0.8301198490487268,379,3.0,60,25,0.04818569929585498,35.0,entropy
0.5100599978159196,0.6483701366982124,0.2236035442698069,0.7613934085108646,827,1.0,5,25,0.39512103505672846,6.0,gini
0.5100599978159196,0.6483701366982124,0.21023979089033787,0.8030885156309411,689,25.0,38,25,0.13635097160209902,22.0,gini
0.5100599978159196,0.6483701366982124,0.21597486554319564,0.7926804190909557,586,1.0,47,38,0.18034461393940077,43.0,entropy
0.5100599978159196,0.6483701366982124,0.22469156490709893,0.7616680870322978,931,27.0,20,4,0.4204485677055814,14.0,gini
