f1_mean,accuracy_mean,brier_score_mean,roc_auc_mean,model__kernel,model__C,model__gamma,model__degree
0.5063732044800276,0.5697497720595684,0.24788608135588072,0.5443893159904865,rbf,4.0,32.0,4
0.45917910257622846,0.5148414547664877,0.25547235931819356,0.47730149644557174,poly,32.0,0.5,5
0.5115160931837484,0.5561746530240097,0.27384356317775926,0.5935313228855181,sigmoid,256.0,0.0009765625,2
0.5586522310452449,0.579779151048526,0.26419386043529225,0.48185374703523504,rbf,32.0,4.0,4
0.34867204322010503,0.4146489717353865,0.2591821360494696,0.499497737567725,sigmoid,4.0,4.0,4
0.3484043526709501,0.4167764157633472,0.2501565851839997,0.49113644251234423,sigmoid,32.0,4.0,4
0.5248818834903431,0.5364198156215175,0.24490966298468417,0.5755949884370055,rbf,32.0,0.5,4
0.4818264288070162,0.5388511802249012,0.2673820359940817,0.6237799437146984,rbf,0.0625,0.0078125,2
0.4483745666964539,0.4606422854827272,0.25497744101335107,0.5116434255412238,linear,256.0,0.0078125,4
0.3178301222419038,0.4807010434606423,0.2775521231363517,0.5490483968064424,poly,0.0625,0.0078125,4
0.5658804365119937,0.5777530138790397,0.25219665418800397,0.5092313569330267,linear,32.0,4.0,3
0.4219956503106101,0.4884003647046905,0.25387960161541184,0.49033698398286774,poly,32.0,256.0,5
0.5090791638131708,0.5184885016715631,0.2515163349798206,0.5266933701112219,linear,256.0,0.0009765625,4
0.3190573371883429,0.48110627089453956,0.2721271266312357,0.5629632599420369,poly,0.0009765625,0.0625,5
0.5368926332658652,0.5456387397426806,0.24806767662269208,0.5494183961814156,linear,256.0,0.0009765625,5
0.34581160123562626,0.4107993111133624,0.2496114022090829,0.542014296664002,sigmoid,0.0009765625,4.0,2
0.4529745399124556,0.5081552021071827,0.25201256588022997,0.49588099162135224,poly,0.0078125,256.0,4
0.4787456360892843,0.5346975990274542,0.28476711040306285,0.57653653774668,linear,0.0078125,0.0009765625,5
0.5148167723409808,0.5387498733664269,0.24995063256929603,0.48529094171790244,poly,256.0,4.0,5
